,Count,Name,Representation,Representative_Docs,topic_num,category_grouped,translation
0,3903,0_bedankt_dank_reactie_alvast,"['bedankt', 'dank', 'reactie', 'alvast', 'snelle', 'hoor', 'dankjewel', 'fijne', 'fijn', 'voorbaat']","['Alvast dank voor uw reactie  [PERSOON]', 'Alvast dank voor uw reactie,   [PERSOON]', 'Ik hoor het graag en bedankt voor uw snelle reactie']",0,non-medical,"Topic 0: thanks, thank you, response, in advance"
1,2239,1_prikken_ontlasting_bloed_ingeleverd,"['prikken', 'ontlasting', 'bloed', 'ingeleverd', 'laten', 'inleveren', 'bloedprikken', 'geprikt', 'uitslag', 'leveren']","['Beste,  Donderdag 20-1 heb ik ontlasting ingeleverd en bloed laten prikken.', 'Hallo,  Ik heb 2 weken geleden ontlasting ingeleverd en bloed laten prikken.', 'Maandag 2 mei heb ik bloed laten prikken en ontlasting ingeleverd.']",1,medical,"Topic 1: pricking, stool, blood, handed in"
2,1847,2_telefonisch_bellen_gebeld_contact,"['telefonisch', 'bellen', 'gebeld', 'contact', 'bereikbaar', 'consult', 'telefonische', 'belafspraak', 'telefoon', 'nummer']","['Hallo,  Ik had graag telefonisch contact gehad met jullie.', 'Hallo [PERSOON]/[PERSOON] N.a.v.telefonisch contact afgelopen vrijdag ben ik naar het aan geweest.', 'Mocht U toch nog telefonisch contact met mij willen hebben dan ben ik gewoon bereikbaar onder nummer [TELEFOONNUMMER] Met vriendelijke groet, [PERSOON]']",2,non-medical,"Topic 2: telephone, calling, called, contact"
3,1809,3_pijn_buik_buikpijn_last,"['pijn', 'buik', 'buikpijn', 'last', 'krampen', 'gevoel', 'onderbuik', 'nacht', 'rug', 'gewrichten']","['Geen pijn meer in.', 'Beste,  Sinds deze week heb ik veel last van mijn buik.', 'Dit is ondoenlijk van wege de pijn!']",3,medical,"Topic 3: pain, abdomen, abdominal pain, discomfort"
4,1799,4_slijm_toilet_ontlasting_bloed,"['slijm', 'toilet', 'ontlasting', 'bloed', 'keer', 'soms', 'zit', 'vaker', 'bloedverlies', 'aandrang']","['Ik heb ook weer bloed en slijm bij de ontlasting en meer luchtophopingen.', 'Ik heb eigenlijk nooit veel bloed of slijm bij mijn ontlasting gehad.', 'Buikpijn, slijm en bloed bij ontlasting, vaker naar het toilet per dag.']",4,medical,"Topic 4: mucus, toilet, stool, blood"
5,1791,5_afspraak_poli_gepland_staan,"['afspraak', 'poli', 'gepland', 'staan', 'datum', 'afspraken', 'plannen', 'verzetten', 'staat', 'agenda']","['17/2 is n poli afspraak weer gepland.', 'beste, ik heb 30 maart een afspraak op de poli bij [PERSOON].', 'Ik heb morgenvrowg een afspraak op de poli']",5,non-medical,"Topic 5: appointment, outpatient clinic, scheduled, set"
6,1500,6_uitslag_uitslagen_bekend_bloeduitslagen,"['uitslag', 'uitslagen', 'bekend', 'bloeduitslagen', 'spiegel', 'resultaten', 'hiervan', 'bloeduitslag', 'benieuwd', 'bloedwaarden']","['Is er al bekend de uitslagen Groethes', 'Zijn er al uitslagen bekend?', 'Zijn hier al de uitslagen van bekend?']",6,medical,"Topic 6: result, results, known, blood results"
7,1332,7_apotheek_recept_locatie_sturen,"['apotheek', 'recept', 'locatie', 'sturen', 'nieuw', 'faxen', 'zorginstelling', 'herhaalrecept', 'recepten', 'ophalen']","['Graag recept naar apotheek Céramique [LOCATIE].', 'Graag recept naar Apotheek [LOCATIE].', 'Het recept mag naar apotheek [LOCATIE].']",7,non-medical,"Topic 7: pharmacy, prescription, location, send"
8,1264,8_brief_ontvangen_mail_post,"['brief', 'ontvangen', 'mail', 'post', 'bericht', 'gestuurd', 'sturen', 'ophalen', 'verstuurd', 'email']","['bericht ontvangen!', 'Ik zou daar een E.-mail over ontvangen.', 'Beste [PERSOON],  Tot op hebben heb ik geen brief mogen ontvangen.']",8,non-medical,"Topic 8: letter, received, mail, post"
9,1064,9_humira_spuit_spuiten_injectie,"['humira', 'spuit', 'spuiten', 'injectie', 'zetten', 'hyrimoz', 'gezet', 'injecties', 'gespoten', 'gebruik']","['Kan dit te maken hebben met de Humira?', 'Dit alles had ik bij de humira niet.', 'Ik kan elke week humira niet aan.']",9,medical,"Topic 9: Humira, syringe, injecting, injection"
